ISO Code,Country,Region,Year,Cluster,Index,Infrastructure,Affordability,Consumer Readiness,Content and Services,Network coverage,Network performance,Spectrum,Mobile data affordability,Handset affordability,Taxation,Mobile Ownership,Basic Skills,Gender Equality,Local Relevance,Online Security,2G Population Coverage,3G Population Coverage,4G Population Coverage,5G Population Coverage,Mobile download speeds,Mobile upload speeds,Mobile latencies,Spectrum assigned in bands below 1GHz,Spectrum assigned in bands between 1-3GHz,Spectrum assigned in bands between 3-6GHz,Spectrum assigned in mmWave bands,Affordability of entry basket (1GB),Affordability of higher basket (5GB),Affordability of entry basket (1GB) for poorest 40%,Affordability of higher basket (5GB) for poorest 40%,Device affordability,Device affordability for poorest 40%,Cost of taxes on mobile data,Cost of taxes on handsets,Cost of sector specific taxes on mobile data,Mobile ownership,Literacy,School Life Expectancy,Gender gap in mobile ownership,Gender gap in mobile internet,Top-Level Domains (TLDs) per person,E-Government Score,Mobile Social Media Penetration,Locally developed apps per person,Digital Language Support,Language accessibility of top ranked apps,Cybersecurity Index,Readiness Score,Sustainability Score,Potential Deployment
ARM,Armenia,Europe & Central Asia,2022,3,67.92,62.84,60.61,86.86,64.33,87.6,50.35,38.29,63.0,49.63,77.78,79.88,80.71,100.0,67.79,50.47,100.0,99.0,95.0,0.0,21.59,40.64,88.82,52.38,40.33,0.0,0.0,72.65,64.16,61.84,53.35,55.48,43.77,66.67,66.67,100.0,79.88,99.82,61.59,100.0,100.0,60.86,72.21,66.57,84.73,79.93,21.5,50.47,45,50,No
ARM,Armenia,Europe & Central Asia,2023,3,69.59,69.85,62.06,86.42,62.61,91.09,57.25,52.58,62.18,54.08,77.78,80.33,80.62,98.3,65.64,50.47,100.0,99.8,99.5,13.65,27.34,54.11,90.3,80.95,40.33,0.0,0.0,71.54,63.05,61.31,52.82,59.62,48.54,66.67,66.67,100.0,80.33,99.82,61.42,96.6,100.0,61.55,72.21,54.53,84.76,80.78,21.0,50.47,45,50,No
ARM,Armenia,Europe & Central Asia,2024,3,70.34,73.62,61.03,85.54,63.71,91.91,65.85,52.58,58.4,55.3,77.78,81.15,80.62,94.85,66.15,53.96,100.0,99.8,99.68,21.14,38.11,67.96,91.47,80.95,40.33,0.0,0.0,69.98,57.69,59.76,46.16,60.84,49.76,66.67,66.67,100.0,81.15,99.82,61.42,89.69,100.0,61.8,79.22,57.61,82.57,83.4,11.5,53.96,45,50,No
AUS,Australia,East Asia & Pacific,2021,0,92.04,90.37,92.72,92.35,92.76,97.3,87.15,82.96,81.81,100.0,100.0,85.42,99.5,92.12,91.58,97.47,99.5,99.5,99.5,77.5,99.88,71.66,89.9,95.24,76.67,55.63,80.0,92.13,85.21,78.41,71.49,100.0,100.0,100.0,100.0,100.0,85.42,99.0,100.0,93.13,91.11,85.48,94.26,80.37,98.11,96.8,100.0,97.47,90,85,Yes
AUS,Australia,East Asia & Pacific,2022,0,91.39,91.09,91.66,90.78,92.05,97.67,88.56,82.96,79.14,100.0,100.0,85.97,99.5,86.88,90.69,97.47,99.5,99.5,99.5,81.2,100.0,75.66,90.04,95.24,76.67,55.63,80.0,89.9,82.1,76.18,68.38,100.0,100.0,100.0,100.0,100.0,85.97,99.0,100.0,86.39,87.37,86.4,93.8,79.1,95.51,95.55,100.0,97.47,90,85,Yes
AUS,Australia,East Asia & Pacific,2023,0,92.46,93.19,90.64,94.37,91.68,98.25,90.87,87.71,76.59,100.0,100.0,86.41,99.5,97.19,90.23,97.47,99.5,99.5,99.5,87.0,100.0,82.5,90.11,95.24,80.0,80.63,80.0,83.45,83.45,69.74,69.74,100.0,100.0,100.0,100.0,100.0,86.41,99.0,100.0,96.56,97.83,86.42,93.8,76.71,94.85,96.27,100.0,97.47,90,85,Yes
AUS,Australia,East Asia & Pacific,2024,0,92.17,92.83,91.49,93.54,90.84,98.79,89.42,87.71,78.74,100.0,100.0,86.72,99.5,94.39,89.49,96.24,99.66,99.66,99.66,91.0,100.0,77.77,90.49,95.24,80.0,80.63,80.0,86.81,84.13,73.09,70.91,100.0,100.0,100.0,100.0,100.0,86.72,99.0,100.0,93.13,95.65,86.21,92.22,76.37,91.69,97.07,100.0,96.24,90,85,Yes
AUT,Austria,Europe & Central Asia,2021,0,84.79,81.37,89.31,87.51,81.28,95.3,64.45,87.36,88.96,95.42,77.78,85.99,85.64,90.91,78.12,93.89,99.0,99.0,99.0,62.0,45.64,58.18,89.52,90.48,91.67,97.5,0.0,97.83,92.48,85.44,80.09,100.0,90.83,66.67,66.67,100.0,85.99,98.0,73.27,93.06,88.76,84.61,91.49,79.72,100.0,31.86,97.37,93.89,90,85,Yes
AUT,Austria,Europe & Central Asia,2022,0,86.75,84.7,90.37,90.96,81.34,97.0,71.08,87.36,87.05,100.0,77.78,86.42,86.47,100.0,78.2,93.89,99.0,99.0,99.0,79.0,55.8,66.89,90.55,90.48,91.67,97.5,0.0,93.15,93.15,80.94,80.94,100.0,100.0,66.67,66.67,100.0,86.42,98.0,74.95,100.0,100.0,84.86,88.27,81.12,95.96,36.19,97.52,93.89,90,85,Yes
AUT,Austria,Europe & Central Asia,2023,0,87.81,90.46,89.88,90.31,80.97,97.6,84.87,87.36,85.82,100.0,77.78,86.78,86.47,97.67,77.74,93.89,99.0,99.0,99.0,85.0,78.53,85.14,90.95,90.48,91.67,97.5,0.0,91.93,91.93,79.72,79.72,100.0,100.0,66.67,66.67,100.0,86.78,98.0,74.95,100.0,95.35,85.06,88.27,79.92,95.84,34.91,97.68,93.89,90,85,Yes
AUT,Austria,Europe & Central Asia,2024,0,88.17,93.62,89.94,90.01,79.74,98.3,92.06,87.36,85.95,100.0,77.78,87.0,86.47,96.56,77.38,89.14,99.0,99.0,99.0,92.0,90.81,93.93,91.43,90.48,91.67,97.5,0.0,95.23,90.4,83.02,75.16,100.0,100.0,66.67,66.67,100.0,87.0,98.0,74.95,93.13,100.0,84.88,83.83,80.45,94.14,36.65,97.79,89.14,90,85,Yes
AZE,Azerbaijan,Europe & Central Asia,2021,3,65.4,62.82,56.04,79.47,65.38,87.4,56.01,27.27,64.78,43.3,64.06,79.4,74.59,84.4,59.39,89.31,100.0,99.5,94.0,0.0,26.5,51.62,89.91,23.05,40.0,25.0,0.0,71.98,60.67,68.88,57.58,44.98,41.63,73.73,18.46,100.0,79.4,100.0,49.19,86.03,82.78,47.39,65.89,49.46,73.7,74.86,37.25,89.31,45,50,No
AZE,Azerbaijan,Europe & Central Asia,2022,3,67.98,64.2,64.22,81.37,63.67,89.0,57.87,27.27,71.69,56.82,64.06,81.2,74.75,88.17,57.26,89.31,100.0,99.5,98.0,0.0,28.72,54.43,90.46,23.05,40.0,25.0,0.0,78.89,67.58,75.8,64.5,58.49,55.15,73.73,18.46,100.0,81.2,100.0,49.5,85.54,90.79,47.66,61.19,39.96,73.69,76.14,36.5,89.31,45,50,No
AZE,Azerbaijan,Europe & Central Asia,2023,3,70.79,69.6,64.58,83.72,66.71,89.4,66.21,36.8,69.97,59.45,64.06,84.3,74.86,92.01,61.06,89.31,100.0,99.5,99.0,0.0,41.12,66.74,90.77,42.1,40.0,25.0,0.0,77.15,65.85,74.09,62.79,61.11,57.79,73.73,18.46,100.0,84.3,100.0,49.73,91.03,92.98,48.09,61.19,58.42,72.61,77.58,36.0,89.31,45,50,No
AZE,Azerbaijan,Europe & Central Asia,2024,3,73.2,74.2,67.69,83.92,68.12,89.4,76.94,38.3,64.43,63.55,82.49,84.9,74.86,92.01,61.67,93.92,100.0,99.5,99.0,0.0,57.13,81.03,92.67,42.1,45.0,25.0,0.0,73.9,58.11,70.84,54.89,65.21,61.9,73.73,73.73,100.0,84.9,100.0,49.73,91.03,92.98,48.32,73.86,64.21,69.72,76.89,24.5,93.92,45,50,No
BDI,Burundi,Sub-Saharan Africa,2021,1,21.72,32.85,10.44,26.46,24.52,42.79,27.76,23.13,7.05,0.0,38.12,24.7,49.4,5.28,30.22,1.73,96.8,50.6,32.18,0.0,4.03,5.99,73.27,27.24,31.7,0.0,0.0,21.62,0.0,6.58,0.0,0.0,0.0,34.62,72.07,7.69,24.7,68.0,30.8,10.57,0.0,18.87,34.53,5.85,53.28,40.7,30.31,1.73,70,75,Yes
BDI,Burundi,Sub-Saharan Africa,2022,1,22.26,33.35,11.27,26.76,24.4,42.79,29.02,23.13,9.06,0.0,38.24,25.59,49.4,5.28,30.06,1.73,96.8,50.6,32.18,0.0,3.9,6.24,76.92,27.24,31.7,0.0,0.0,24.65,1.98,9.61,0.0,0.0,0.0,34.62,72.4,7.69,25.59,68.0,30.8,10.57,0.0,19.03,33.76,5.46,53.99,40.68,28.53,1.73,70,75,Yes
BDI,Burundi,Sub-Saharan Africa,2023,1,24.33,33.22,14.48,28.07,25.97,43.58,27.92,23.13,17.05,0.0,38.3,26.32,49.4,8.5,32.03,1.73,96.8,50.6,34.14,0.0,4.04,6.4,73.31,27.24,31.7,0.0,0.0,39.23,4.77,24.19,0.0,0.0,0.0,34.62,72.59,7.69,26.32,68.0,30.8,10.57,6.43,19.67,33.76,7.0,53.19,43.64,39.5,1.73,70,75,Yes
BDI,Burundi,Sub-Saharan Africa,2024,1,24.51,33.81,12.11,29.62,29.76,45.68,27.29,23.13,11.13,0.0,38.3,27.82,49.4,11.64,33.01,16.77,96.8,52.0,38.0,0.0,5.17,7.37,69.33,27.24,31.7,0.0,0.0,25.95,7.65,10.92,0.0,0.0,0.0,34.62,72.59,7.69,27.82,68.0,30.8,10.57,12.71,18.98,31.46,7.93,49.76,52.96,39.41,16.77,70,75,Yes
BEL,Belgium,Europe & Central Asia,2021,0,84.71,75.93,84.25,93.89,85.75,93.46,64.28,64.17,77.0,95.88,75.48,89.22,97.5,94.95,83.13,96.25,100.0,100.0,100.0,34.57,47.41,58.55,86.87,61.14,68.23,87.5,0.0,85.46,78.68,75.32,68.53,100.0,91.76,63.22,63.22,100.0,89.22,100.0,95.0,96.56,93.33,82.68,67.44,78.8,91.03,82.41,94.0,96.25,90,85,Yes
BEL,Belgium,Europe & Central Asia,2022,0,85.72,85.56,82.28,89.48,85.71,95.45,76.98,82.95,81.57,86.4,75.48,87.29,96.36,84.79,83.07,96.25,100.0,100.0,100.0,54.53,69.16,73.89,87.88,89.71,83.23,87.5,0.0,90.42,82.62,80.52,72.72,91.76,81.03,63.22,63.22,100.0,87.29,100.0,92.73,89.58,80.0,82.68,68.99,77.97,89.93,83.27,94.0,96.25,90,85,Yes
BEL,Belgium,Europe & Central Asia,2023,0,89.66,92.38,86.99,94.4,85.18,97.45,92.01,82.95,85.58,94.15,75.48,90.24,96.36,96.59,82.41,96.25,100.0,100.0,100.0,74.49,100.0,87.63,88.41,89.71,83.23,87.5,0.0,91.45,89.62,81.55,79.72,99.52,88.79,63.22,63.22,100.0,90.24,100.0,92.73,100.0,93.18,82.62,68.99,75.48,89.5,83.22,93.5,96.25,90,85,Yes
BEL,Belgium,Europe & Central Asia,2024,0,89.03,93.39,83.8,94.04,85.38,97.7,94.29,82.95,77.13,94.65,75.48,90.3,96.36,95.45,82.52,96.82,100.0,100.0,100.0,77.0,100.0,93.25,89.63,89.71,83.23,87.5,0.0,84.06,79.42,74.16,70.86,100.0,89.29,63.22,63.22,100.0,90.3,100.0,92.73,93.13,97.78,82.51,72.24,74.33,86.68,86.29,93.33,96.82,90,85,Yes
